uniq_id,categ,label
4b500e244f11a45f5171bd3665413044,Baby_Care,Train
7ee2e665b7de2e1cc29e3c65bde0c318,Home_Decor_And_Festive_Needs,Train
d21409978f5e404b53f89e444f7893fe,Watches,Train
47d7792e50e69b048b1f17176f170141,Beauty_and_Personal_Care,Train
ecb5bba9a5984d2b35b8ac3f56056c67,Beauty_and_Personal_Care,Train
aa68675f50a0551b8dadb954017a50a1,Kitchen_And_Dining,Train
fc93a41f31c4e997fbfcc5bd0a63ee65,Watches,Train
6ed34e1ab886e8a702ec59dd66ba4dff,Baby_Care,Train
1d1be744e491ed61e705c20e4a72320d,Beauty_and_Personal_Care,Train
9fb8662af03c957ade34d4c816d4e903,Computers,Train
e347e7eca70e01badc3bdf6c154ac7c4,Baby_Care,Train
5f8ebf77ba4064b68ea23a41cda71d97,Watches,Train
2971287a1ac427bd98c4778112d20d06,Kitchen_And_Dining,Train
31376e77d4621c06a45440d42b9fe2ac,Baby_Care,Train
d98fac46793639eceaaa2e74cadd4973,Watches,Train
ace154420a51fad090b3543995630051,Home_Furnishing,Train
19a570b6717955a8c48e5f280617ef24,Watches,Train
e15195f2a5ebaa2168ccd65324e65e8e,Watches,Train
62e36e018c9ee4b282cf674e84054df8,Home_Furnishing,Train
07f8bdc4372a73d0820507683a936b6e,Beauty_and_Personal_Care,Train
6775e3b91baa4d368f6d91eb7c24578b,Kitchen_And_Dining,Train
9f76aaed44b540869da862c5dd4b266f,Home_Decor_And_Festive_Needs,Train
c4581cae6bf751a7ae5c40bb16b74e98,Kitchen_And_Dining,Train
94a0d2804a77f7d2bfab6f3f0ae5254d,Beauty_and_Personal_Care,Train
63f6ef8f3fda2c306b27cfbf5a005f1e,Kitchen_And_Dining,Train
a7a294ddbcd9bbbc46c034079529c17c,Beauty_and_Personal_Care,Train
24e85c590481a7cedfe66597f253f2b2,Beauty_and_Personal_Care,Train
41dccf212ff447cd7213a2b1e669e406,Computers,Train
57578c1e6ec61a880a6f3f971f5f77b8,Home_Decor_And_Festive_Needs,Train
b454f9f449c9dff58b90113ba984ea98,Baby_Care,Train
bc6b11881b783f275edd051431e531a8,Home_Furnishing,Train
144a5e05bd6e69535c53366a805a8b5f,Watches,Train
a54b94096938252901d3f7f8de97bffb,Kitchen_And_Dining,Train
17582ae953860b5320683768b8e97d3a,Beauty_and_Personal_Care,Train
46ca672fdfff8a1b3641642a9795344a,Baby_Care,Train
9da942796e9fac272db50b2f7546b94a,Computers,Train
a1fa0e24b2249ffa81f688c4840f1eb8,Beauty_and_Personal_Care,Train
f355cc1ccb08bd0d283ed979b7ee7515,Watches,Train
eaed0897074ee52230ff6c6d73c18dd4,Baby_Care,Train
729864e0d25e06cbf68561529bcdd4f0,Baby_Care,Train
ad55b7ac6f7284b90d31a1a2f175df8d,Home_Furnishing,Train
bbb8cdc5406ff60ff06ff64630f2ca47,Watches,Train
f0ab5f12bd777e28a401a728fcb93a4b,Home_Decor_And_Festive_Needs,Train
dd0e3470a7e6ed76fd69c2da27721041,Watches,Train
f242a2cf1525f7700770cf1262b4b660,Watches,Train
6b043b37c38f081d96886acb5acfbdf5,Kitchen_And_Dining,Train
fd369a1bb58ae02cd925dda7e9e1d00a,Kitchen_And_Dining,Train
85aec4bf3185da7ebcc45003429cbfe2,Computers,Train
c417f408340252f170f05dadf88160d7,Home_Decor_And_Festive_Needs,Train
dbcaa93cc0542079e9c88db51ec23676,Watches,Train
526cb1e7675adb39a1ea68f1f2a3fd59,Home_Furnishing,Train
0f4f761de4224b004402c1f97e871ba4,Kitchen_And_Dining,Train
d86f260ff28af531443f822c11746521,Computers,Train
009099b1f6e1e8f893ec29a7023153c4,Watches,Train
6efd5d260667b94f04edbbd18bb300b9,Kitchen_And_Dining,Train
e6b483fce5fd910afda67d97dc04e775,Home_Furnishing,Train
63f2d92a3f5fc6cfc11e7f99d5798eac,Home_Decor_And_Festive_Needs,Train
6b5cdfe68595fbcab0e05dc625d3d66a,Beauty_and_Personal_Care,Train
b5b47b2ecf5cf5760051b0a980ed7a3f,Computers,Train
0b852704f2002f8865a68818ad4951da,Kitchen_And_Dining,Train
be0f39341d771aac57084970f1ed6425,Baby_Care,Train
3c4ca34c50a5437a1bcc42b72fc1351f,Kitchen_And_Dining,Train
